Activation,Size (B),Last Fwd Use,First Bwd Use,Idle Gap,Recomp Ops,Recomp (ms)
relu__127,12845056,convolution_131,convolution_backward_23,422,2,0.1140
convolution_131,12845056,cudnn_batch_norm_131,cudnn_batch_norm_backward_23,416,0,0.0000
relu__126,51380224,add__175,convolution_backward_24,415,3,1.0513
relu__128,12845056,convolution_132,convolution_backward_22,406,2,0.1109
convolution_132,51380224,cudnn_batch_norm_132,cudnn_batch_norm_backward_22,400,0,0.0000
convolution_133,12845056,cudnn_batch_norm_133,cudnn_batch_norm_backward_21,382,0,0.0000
relu__130,12845056,convolution_134,convolution_backward_20,372,2,0.1133
convolution_134,12845056,cudnn_batch_norm_134,cudnn_batch_norm_backward_20,366,0,0.0000
relu__129,51380224,add__179,convolution_backward_21,365,3,1.0431
relu__131,12845056,convolution_135,convolution_backward_19,356,2,0.1137
convolution_135,51380224,cudnn_batch_norm_135,cudnn_batch_norm_backward_19,350,0,0.0000
convolution_136,12845056,cudnn_batch_norm_136,cudnn_batch_norm_backward_18,332,0,0.0000
relu__133,12845056,convolution_137,convolution_backward_17,322,2,0.1140
convolution_137,12845056,cudnn_batch_norm_137,cudnn_batch_norm_backward_17,316,0,0.0000
relu__132,51380224,add__183,convolution_backward_18,315,3,1.0533
relu__134,12845056,convolution_138,convolution_backward_16,306,2,0.1119
convolution_138,51380224,cudnn_batch_norm_138,cudnn_batch_norm_backward_16,300,0,0.0000
convolution_139,12845056,cudnn_batch_norm_139,cudnn_batch_norm_backward_15,282,0,0.0000
relu__136,12845056,convolution_140,convolution_backward_14,272,2,0.1129
convolution_140,12845056,cudnn_batch_norm_140,cudnn_batch_norm_backward_14,266,0,0.0000
relu__135,51380224,add__187,convolution_backward_15,265,3,1.0551
relu__137,12845056,convolution_141,convolution_backward_13,256,2,0.1106
convolution_141,51380224,cudnn_batch_norm_141,cudnn_batch_norm_backward_13,250,0,0.0000
convolution_142,12845056,cudnn_batch_norm_142,cudnn_batch_norm_backward_12,232,0,0.0000
relu__139,12845056,convolution_143,convolution_backward_11,222,2,0.1144
convolution_143,12845056,cudnn_batch_norm_143,cudnn_batch_norm_backward_11,216,0,0.0000
relu__138,51380224,add__191,convolution_backward_12,215,3,1.0482
relu__140,12845056,convolution_144,convolution_backward_10,206,2,0.1110
convolution_144,51380224,cudnn_batch_norm_144,cudnn_batch_norm_backward_10,200,0,0.0000
convolution_145,25690112,cudnn_batch_norm_145,cudnn_batch_norm_backward_9,182,0,0.0000
relu__142,25690112,convolution_146,convolution_backward_8,172,2,0.2041
convolution_146,6422528,cudnn_batch_norm_146,cudnn_batch_norm_backward_8,166,0,0.0000
relu__143,6422528,convolution_147,convolution_backward_7,156,2,0.1171
convolution_147,25690112,cudnn_batch_norm_147,cudnn_batch_norm_backward_7,150,0,0.0000
relu__141,51380224,convolution_148,convolution_backward_6,142,3,1.0506
convolution_148,25690112,cudnn_batch_norm_148,cudnn_batch_norm_backward_6,136,0,0.0000
convolution_149,6422528,cudnn_batch_norm_149,cudnn_batch_norm_backward_5,118,0,0.0000
relu__145,6422528,convolution_150,convolution_backward_4,108,2,0.1113
convolution_150,6422528,cudnn_batch_norm_150,cudnn_batch_norm_backward_4,102,0,0.0000
relu__144,25690112,add__200,convolution_backward_5,101,5,0.6530
relu__146,6422528,convolution_151,convolution_backward_3,92,2,0.1099
convolution_151,25690112,cudnn_batch_norm_151,cudnn_batch_norm_backward_3,86,0,0.0000
convolution_152,6422528,cudnn_batch_norm_152,cudnn_batch_norm_backward_2,68,0,0.0000
relu__148,6422528,convolution_153,convolution_backward_1,58,2,0.1112
convolution_153,6422528,cudnn_batch_norm_153,cudnn_batch_norm_backward_1,52,0,0.0000
relu__147,25690112,add__204,convolution_backward_2,51,3,0.4004
relu__149,6422528,convolution_154,convolution_backward,42,2,0.1116
convolution_154,25690112,cudnn_batch_norm_154,cudnn_batch_norm_backward,36,0,0.0000
relu__150,25690112,mean,threshold_backward,28,3,0.4356
view,524288,addmm,mm_1,17,1,0.1215
t,8192000,addmm,t_1,14,0,0.0000
view_2,512,nll_loss_forward,nll_loss_backward,7,0,0.0000
_log_softmax,256000,nll_loss_forward,nll_loss_backward,7,2,0.1741
